Encuesta;p1/4;p2/5;p3/3;p4/3;p5/5;p6/5;p7/5;p8/3;p9/abierta;p10/abierta
1;2;4;3;1;3;3;5;2;Crear nuevas coss que pueden ayudar a la sociedad;Códigos y programas
2;3;4;2;1;3;3;4;2;Espero desarrollas prototops o productos que ayuden a la gente;La codificación y materales
3;2;4;2;2;4;3;4;1;A familiarizarme con las herramientas tecnológicas que ayuden en mi aprendizaje ;El relacionarme con nuevas herramientas sin tener conocimientos previos sobre este
4;3;4;2;1;3;3;4;2;Espero aprender a crear nueva tecnología que hagan más facil nuestra vida cotidiana;Los programaciones y crear un buen proyecto innovador
5;2;4;2;1;3;2;5;1;Espero impulsar mis capacidades relacionadas a tecnología e innovación;Algunos conceptos  a actividades pueden ser complicados debido a que mi conocimienta en está área es bajo
6;1;4;1;1;3;5;4;1;Espero aprender más sobre la tecnologia haci poder ayudar a maestra y compañeros;El desafío podría ser que me pueda confundir y al olvidar algún paso
7;2;5;1;2;2;3;3;1;Espero aprender nuevos conceptos en esta área ya que soy nueva;Estar poco relacionada sería una dificultad para aprender paso a paso
8;2;3;1;2;2;2;3;1;Habilidades en programación y uso de la tecnología;Nuevos terminos, compreción en cuanto a softare
9;3;4;2;1;3;3;3;2;Espero poder mejorar mis habilidades tecnológicas tomando en cuenta distintas idea innovadores y factibles;La complejifaf de sistemas, el tiempo dedicado y las ideas que sean factibles
10;2;4;1;2;3;3;4;1;Algo innovador para mi desarrollo como estudiante que me sirva para aprender;Ninguna
11;3;4;1;1;4;3;5;1;Algo que me ayude en la vida cotidiana o en problemas futuros;Ninguno
12;3;5;2;2;3;3;5;1;Espero aprender a manejar nuevas herramientastecnológicas o relacionadas;El desafio principal sería el tiempo perdido en las calses
13;2;3;2;3;3;3;4;1;Espero aprender varias formas de solucionar problemas con el eso de tecnología ;La dificultal al momento de utilizar algunas herramientas
14;2;4;2;1;3;3;4;1;Espero aprender cosas que me puedan ayudar en un futuro y también para mi conocimiento;Algo de complejidad ya que es nueva para mi
15;3;4;1;2;3;2;4;1;Espero apreder las maneras correctas de utilizar la tecnología en proyectos;Tal vez no entienda algunas cosas, espero que no pase
16;3;3;1;1;3;4;5;1;Espero aprender cosas muy interesantes y que me ayuden en un futuro;Que posiblemente no pueda entender o desarrollar la actividad
